datetime,open,high,low,close,volume
2025-09-18T09:30:00-04:00,239.96,241.2,239.11,239.18,2013602
2025-09-18T09:35:00-04:00,239.19,239.77,238.95,239.48,609018
2025-09-18T09:40:00-04:00,239.49,239.7,238.06,238.08,685772
2025-09-18T09:45:00-04:00,238.1,238.34,237.63,238.05,697709
2025-09-18T09:50:00-04:00,238.05,238.42,237.92,238.06,480571
2025-09-18T09:55:00-04:00,238.06,238.59,237.92,238.45,482576
2025-09-18T10:00:00-04:00,238.43,238.43,237.88,238.14,458268
2025-09-18T10:05:00-04:00,238.15,238.32,237.61,237.7,491212
2025-09-18T10:10:00-04:00,237.71,237.86,236.65,237.01,899411
2025-09-18T10:15:00-04:00,237.01,237.56,236.77,237.24,579989
2025-09-18T10:20:00-04:00,237.25,237.39,236.98,237.22,553462
2025-09-18T10:25:00-04:00,237.21,237.63,237.19,237.56,487522
2025-09-18T10:30:00-04:00,237.56,237.79,237.31,237.41,436865
2025-09-18T10:35:00-04:00,237.44,237.81,237.43,237.77,360209
2025-09-18T10:40:00-04:00,237.77,238.15,237.68,237.94,354677
2025-09-18T10:45:00-04:00,237.93,238.27,237.82,238.22,327427
2025-09-18T10:50:00-04:00,238.22,238.39,238.04,238.16,311483
2025-09-18T10:55:00-04:00,238.16,238.3,238.09,238.24,238884
2025-09-18T11:00:00-04:00,238.25,238.8,238.21,238.65,409576
2025-09-18T11:05:00-04:00,238.66,238.72,238.38,238.58,276550
2025-09-18T11:10:00-04:00,238.61,238.62,238.31,238.39,182297
2025-09-18T11:15:00-04:00,238.39,238.46,238.12,238.43,245546
2025-09-18T11:20:00-04:00,238.43,238.58,238.32,238.42,166056
2025-09-18T11:25:00-04:00,238.41,238.48,238.1,238.19,176305
2025-09-18T11:30:00-04:00,238.21,238.45,238.21,238.34,129993
2025-09-18T11:35:00-04:00,238.33,238.42,238.3,238.35,131387
2025-09-18T11:40:00-04:00,238.34,238.54,238.23,238.33,382884
2025-09-18T11:45:00-04:00,238.33,238.48,238.09,238.22,247996
2025-09-18T11:50:00-04:00,238.22,238.23,237.63,237.64,356039
2025-09-18T11:55:00-04:00,237.65,237.7,237.35,237.61,307952
2025-09-18T12:00:00-04:00,237.59,237.78,237.5,237.68,206812
2025-09-18T12:05:00-04:00,237.69,237.82,237.57,237.58,178720
2025-09-18T12:10:00-04:00,237.58,237.81,237.44,237.77,203966
2025-09-18T12:15:00-04:00,237.78,238.18,237.73,238.06,318739
2025-09-18T12:20:00-04:00,238.06,238.1,237.91,237.93,151534
2025-09-18T12:25:00-04:00,237.94,238.04,237.91,237.94,117676
2025-09-18T12:30:00-04:00,237.95,237.99,237.65,237.66,238353
2025-09-18T12:35:00-04:00,237.66,238.0,237.64,237.95,202603
2025-09-18T12:40:00-04:00,237.96,238.11,237.94,238.08,157303
2025-09-18T12:45:00-04:00,238.08,238.14,237.98,238.1,150133
