2025-07-30 00:43:56 [INFO] .env geladen: .env
2025-07-30 00:43:56 [INFO] Konfiguration geladen: config/startup.json
2025-07-30 00:43:56 [INFO] .env geladen: .env
2025-07-30 00:43:56 [INFO] .env geladen: .env
2025-07-30 00:43:56 [INFO] Konfiguration geladen: config/tasks.json
[config_loader] 2025-07-30 01:42:53 [INFO] .env geladen: .env
[config_loader] 2025-07-30 01:42:53 [INFO] .env geladen: .env
[config_loader] 2025-07-30 01:42:53 [ERROR] ❌ Typfehler in config/tasks.json: erwartet dict, erhalten list
[config_loader] 2025-07-30 01:43:06 [INFO] .env geladen: .env
[config_loader] 2025-07-30 01:43:06 [INFO] Konfiguration geladen: config/startup.json
[config_loader] 2025-07-30 01:46:58 [INFO] .env geladen: .env
[config_loader] 2025-07-30 01:46:58 [INFO] Konfiguration geladen: config/startup.json
[config_loader] 2025-07-30 01:49:17 [INFO] .env geladen: .env
[config_loader] 2025-07-30 01:49:17 [INFO] Konfiguration geladen: config/startup.json
[config_loader] 2025-07-30 01:51:52 [INFO] .env geladen: .env
[config_loader] 2025-07-30 01:51:52 [INFO] Konfiguration geladen: config/startup.json
[config_loader] 2025-07-30 01:53:52 [INFO] .env geladen: .env
[config_loader] 2025-07-30 01:53:52 [INFO] Konfiguration geladen: config/startup.json
[config_loader] 2025-07-30 01:55:04 [INFO] .env geladen: .env
[config_loader] 2025-07-30 01:55:04 [INFO] Konfiguration geladen: config/startup.json
[config_loader] 2025-07-30 01:56:13 [INFO] .env geladen: .env
[config_loader] 2025-07-30 01:56:13 [INFO] Konfiguration geladen: config/startup.json
[config_loader] 2025-07-30 01:58:15 [INFO] .env geladen: .env
[config_loader] 2025-07-30 01:58:15 [INFO] Konfiguration geladen: config/startup.json
[config_loader] 2025-07-30 01:59:51 [INFO] .env geladen: .env
[config_loader] 2025-07-30 01:59:51 [INFO] Konfiguration geladen: config/startup.json
[config_loader] 2025-07-30 02:00:38 [INFO] .env geladen: .env
[config_loader] 2025-07-30 02:00:38 [INFO] Konfiguration geladen: config/startup.json
[config_loader] 2025-07-30 02:01:00 [INFO] .env geladen: .env
[config_loader] 2025-07-30 02:01:00 [INFO] Konfiguration geladen: config/startup.json
[config_loader] 2025-07-30 02:02:24 [INFO] .env geladen: .env
[config_loader] 2025-07-30 02:02:24 [INFO] Konfiguration geladen: config/startup.json
[config_loader] 2025-07-30 02:08:29 [INFO] .env geladen: .env
[config_loader] 2025-07-30 02:08:29 [ERROR] ❌ Typfehler in config/symbol_tasks.json: erwartet dict, erhalten list
