[live_fx_dashboard] 2025-08-06 21:25:32 [INFO] EURUSD | BID: 1.16621 | ASK: 1.16623 | SPREAD: 2e-05
[live_fx_dashboard] 2025-08-06 21:25:33 [INFO] EURUSD | BID: 1.16617 | ASK: 1.16619 | SPREAD: 2e-05
[live_fx_dashboard] 2025-08-06 21:25:33 [INFO] EURUSD | BID: 1.16616 | ASK: 1.16618 | SPREAD: 2e-05
[live_fx_dashboard] 2025-08-06 21:25:35 [INFO] EURUSD | BID: 1.16616 | ASK: 1.16619 | SPREAD: 3e-05
[live_fx_dashboard] 2025-08-06 21:25:36 [INFO] EURUSD | BID: 1.16617 | ASK: 1.16619 | SPREAD: 2e-05
[live_fx_dashboard] 2025-08-06 21:25:37 [INFO] EURUSD | BID: 1.16616 | ASK: 1.16619 | SPREAD: 3e-05
[live_fx_dashboard] 2025-08-06 21:25:38 [INFO] EURUSD | BID: 1.16617 | ASK: 1.16619 | SPREAD: 2e-05
[live_fx_dashboard] 2025-08-06 21:25:39 [INFO] EURUSD | BID: 1.16616 | ASK: 1.16619 | SPREAD: 3e-05
[live_fx_dashboard] 2025-08-06 21:25:43 [INFO] EURUSD | BID: 1.16617 | ASK: 1.16619 | SPREAD: 2e-05
[live_fx_dashboard] 2025-08-06 21:25:46 [INFO] EURUSD | BID: 1.16616 | ASK: 1.16619 | SPREAD: 3e-05
[live_fx_dashboard] 2025-08-06 21:25:47 [INFO] EURUSD | BID: 1.16616 | ASK: 1.16618 | SPREAD: 2e-05
[live_fx_dashboard] 2025-08-06 21:25:47 [INFO] EURUSD | BID: 1.16614 | ASK: 1.16615 | SPREAD: 1e-05
[live_fx_dashboard] 2025-08-06 21:25:48 [INFO] EURUSD | BID: 1.16612 | ASK: 1.16615 | SPREAD: 3e-05
[live_fx_dashboard] 2025-08-06 21:25:52 [INFO] EURUSD | BID: 1.16611 | ASK: 1.16613 | SPREAD: 2e-05
[live_fx_dashboard] 2025-08-06 21:25:55 [INFO] EURUSD | BID: 1.16611 | ASK: 1.16614 | SPREAD: 3e-05
[live_fx_dashboard] 2025-08-06 21:25:56 [INFO] EURUSD | BID: 1.16612 | ASK: 1.16615 | SPREAD: 3e-05
[live_fx_dashboard] 2025-08-06 21:26:08 [INFO] EURUSD | BID: 1.16611 | ASK: 1.16614 | SPREAD: 3e-05
[live_fx_dashboard] 2025-08-06 21:26:12 [INFO] EURUSD | BID: 1.16616 | ASK: 1.16617 | SPREAD: 1e-05
[live_fx_dashboard] 2025-08-06 21:26:12 [INFO] EURUSD | BID: 1.16617 | ASK: 1.1662 | SPREAD: 3e-05
[live_fx_dashboard] 2025-08-06 21:26:16 [INFO] EURUSD | BID: 1.16618 | ASK: 1.1662 | SPREAD: 2e-05
[live_fx_dashboard] 2025-08-06 21:26:21 [INFO] EURUSD | BID: 1.16617 | ASK: 1.16619 | SPREAD: 2e-05
[live_fx_dashboard] 2025-08-06 21:26:24 [INFO] EURUSD | BID: 1.16618 | ASK: 1.16619 | SPREAD: 1e-05
[live_fx_dashboard] 2025-08-06 21:26:25 [INFO] EURUSD | BID: 1.16617 | ASK: 1.16619 | SPREAD: 2e-05
[live_fx_dashboard] 2025-08-06 21:26:26 [INFO] EURUSD | BID: 1.16618 | ASK: 1.16619 | SPREAD: 1e-05
[live_fx_dashboard] 2025-08-06 21:26:26 [INFO] EURUSD | BID: 1.16617 | ASK: 1.16619 | SPREAD: 2e-05
[live_fx_dashboard] 2025-08-06 21:26:27 [INFO] EURUSD | BID: 1.16618 | ASK: 1.16619 | SPREAD: 1e-05
[live_fx_dashboard] 2025-08-06 21:28:38 [INFO] EURUSD | BID geändert: 1.1662
[live_fx_dashboard] 2025-08-06 21:28:38 [INFO] EURUSD | ASK geändert: 1.1662
[live_fx_dashboard] 2025-08-06 21:28:39 [INFO] EURUSD | BID geändert: 1.16611
[live_fx_dashboard] 2025-08-06 21:28:39 [INFO] EURUSD | ASK geändert: 1.16613
[live_fx_dashboard] 2025-08-06 21:28:39 [INFO] EURUSD | BID geändert: 1.16609
[live_fx_dashboard] 2025-08-06 21:28:39 [INFO] EURUSD | ASK geändert: 1.1661
[live_fx_dashboard] 2025-08-06 21:28:40 [INFO] EURUSD | BID geändert: 1.16608
[live_fx_dashboard] 2025-08-06 21:28:41 [INFO] EURUSD | BID geändert: 1.16612
[live_fx_dashboard] 2025-08-06 21:28:41 [INFO] EURUSD | ASK geändert: 1.16614
[live_fx_dashboard] 2025-08-06 21:28:43 [INFO] EURUSD | BID geändert: 1.16607
[live_fx_dashboard] 2025-08-06 21:28:43 [INFO] EURUSD | ASK geändert: 1.16609
[live_fx_dashboard] 2025-08-06 21:28:50 [INFO] EURUSD | BID geändert: 1.16609
[live_fx_dashboard] 2025-08-06 21:28:50 [INFO] EURUSD | ASK geändert: 1.1661
[live_fx_dashboard] 2025-08-06 21:28:50 [INFO] EURUSD | BID geändert: 1.16608
[live_fx_dashboard] 2025-08-06 21:28:51 [INFO] EURUSD | ASK geändert: 1.16609
[live_fx_dashboard] 2025-08-06 21:29:00 [INFO] EURUSD | BID geändert: 1.16607
[live_fx_dashboard] 2025-08-06 21:29:02 [INFO] EURUSD | ASK geändert: 1.1661
[live_fx_dashboard] 2025-08-06 21:29:03 [INFO] EURUSD | BID geändert: 1.16608
[live_fx_dashboard] 2025-08-06 21:29:04 [INFO] EURUSD | BID geändert: 1.16607
[live_fx_dashboard] 2025-08-06 21:29:04 [INFO] EURUSD | ASK geändert: 1.16609
[live_fx_dashboard] 2025-08-06 21:29:05 [INFO] EURUSD | BID geändert: 1.16608
[live_fx_dashboard] 2025-08-06 21:29:06 [INFO] EURUSD | BID geändert: 1.16607
[live_fx_dashboard] 2025-08-06 21:29:06 [INFO] EURUSD | ASK geändert: 1.1661
[live_fx_dashboard] 2025-08-06 21:29:07 [INFO] EURUSD | ASK geändert: 1.16609
[live_fx_dashboard] 2025-08-06 21:29:08 [INFO] EURUSD | BID geändert: 1.16606
[live_fx_dashboard] 2025-08-06 21:29:09 [INFO] EURUSD | ASK geändert: 1.16607
[live_fx_dashboard] 2025-08-06 21:29:19 [INFO] EURUSD | BID geändert: 1.16607
[live_fx_dashboard] 2025-08-06 21:29:19 [INFO] EURUSD | ASK geändert: 1.16609
[live_fx_dashboard] 2025-08-06 21:29:20 [INFO] EURUSD | BID geändert: 1.16608
[live_fx_dashboard] 2025-08-06 21:29:21 [INFO] EURUSD | BID geändert: 1.16607
[live_fx_dashboard] 2025-08-06 21:29:22 [INFO] EURUSD | BID geändert: 1.16608
[live_fx_dashboard] 2025-08-06 21:29:27 [INFO] EURUSD | BID geändert: 1.16607
[live_fx_dashboard] 2025-08-06 21:29:27 [INFO] EURUSD | BID geändert: 1.16608
[live_fx_dashboard] 2025-08-06 21:29:28 [INFO] EURUSD | BID geändert: 1.16607
[live_fx_dashboard] 2025-08-06 21:29:28 [INFO] EURUSD | BID geändert: 1.16608
[live_fx_dashboard] 2025-08-06 21:29:29 [INFO] EURUSD | BID geändert: 1.16607
[live_fx_dashboard] 2025-08-06 21:29:30 [INFO] EURUSD | ASK geändert: 1.16608
[live_fx_dashboard] 2025-08-06 21:32:15 [INFO] 2025-08-06 21:32:15 | EURUSD | BID: nan | ASK: nan | SPREAD: nan
[live_fx_dashboard] 2025-08-06 21:32:16 [INFO] 2025-08-06 21:32:16 | EURUSD | BID: nan | ASK: nan | SPREAD: nan
[live_fx_dashboard] 2025-08-06 21:32:16 [INFO] 2025-08-06 21:32:16 | EURUSD | BID: 1.16605 | ASK: 1.16606 | SPREAD: 1e-05
[live_fx_dashboard] 2025-08-06 21:32:17 [INFO] 2025-08-06 21:32:17 | EURUSD | BID: 1.16603 | ASK: 1.16605 | SPREAD: 2e-05
[live_fx_dashboard] 2025-08-06 21:32:18 [INFO] 2025-08-06 21:32:18 | EURUSD | BID: 1.16606 | ASK: 1.16607 | SPREAD: 1e-05
[live_fx_dashboard] 2025-08-06 21:32:18 [INFO] 2025-08-06 21:32:18 | EURUSD | BID: 1.16605 | ASK: 1.16608 | SPREAD: 3e-05
[live_fx_dashboard] 2025-08-06 21:32:19 [INFO] 2025-08-06 21:32:19 | EURUSD | BID: 1.16605 | ASK: 1.16607 | SPREAD: 2e-05
[live_fx_dashboard] 2025-08-06 21:32:19 [INFO] 2025-08-06 21:32:19 | EURUSD | BID: 1.16605 | ASK: 1.16608 | SPREAD: 3e-05
[live_fx_dashboard] 2025-08-06 21:32:21 [INFO] 2025-08-06 21:32:21 | EURUSD | BID: 1.16606 | ASK: 1.16608 | SPREAD: 2e-05
[live_fx_dashboard] 2025-08-06 21:32:22 [INFO] 2025-08-06 21:32:22 | EURUSD | BID: 1.16606 | ASK: 1.16607 | SPREAD: 1e-05
[live_fx_dashboard] 2025-08-06 21:32:22 [INFO] 2025-08-06 21:32:22 | EURUSD | BID: 1.16605 | ASK: 1.16607 | SPREAD: 2e-05
[live_fx_dashboard] 2025-08-06 21:32:23 [INFO] 2025-08-06 21:32:23 | EURUSD | BID: 1.16606 | ASK: 1.16607 | SPREAD: 1e-05
[live_fx_dashboard] 2025-08-06 21:32:24 [INFO] 2025-08-06 21:32:24 | EURUSD | BID: 1.16606 | ASK: 1.16608 | SPREAD: 2e-05
[live_fx_dashboard] 2025-08-06 21:32:24 [INFO] 2025-08-06 21:32:24 | EURUSD | BID: 1.16606 | ASK: 1.16607 | SPREAD: 1e-05
[live_fx_dashboard] 2025-08-06 21:32:25 [INFO] 2025-08-06 21:32:25 | EURUSD | BID: 1.16608 | ASK: 1.16609 | SPREAD: 1e-05
[live_fx_dashboard] 2025-08-06 21:32:26 [INFO] 2025-08-06 21:32:26 | EURUSD | BID: 1.16608 | ASK: 1.1661 | SPREAD: 2e-05
[live_fx_dashboard] 2025-08-06 21:32:31 [INFO] 2025-08-06 21:32:31 | EURUSD | BID: 1.16607 | ASK: 1.16609 | SPREAD: 2e-05
[live_fx_dashboard] 2025-08-06 21:32:40 [INFO] 2025-08-06 21:32:40 | EURUSD | BID: 1.16608 | ASK: 1.1661 | SPREAD: 2e-05
[live_fx_dashboard] 2025-08-06 21:32:43 [INFO] 2025-08-06 21:32:43 | EURUSD | BID: 1.16609 | ASK: 1.1661 | SPREAD: 1e-05
[live_fx_dashboard] 2025-08-06 21:32:44 [INFO] 2025-08-06 21:32:44 | EURUSD | BID: 1.16609 | ASK: 1.16611 | SPREAD: 2e-05
[live_fx_dashboard] 2025-08-06 21:32:46 [INFO] 2025-08-06 21:32:46 | EURUSD | BID: 1.16612 | ASK: 1.16613 | SPREAD: 1e-05
[live_fx_dashboard] 2025-08-06 21:32:49 [INFO] 2025-08-06 21:32:49 | EURUSD | BID: 1.16611 | ASK: 1.16613 | SPREAD: 2e-05
[live_fx_dashboard] 2025-08-06 21:32:51 [INFO] 2025-08-06 21:32:51 | EURUSD | BID: 1.1661 | ASK: 1.16611 | SPREAD: 1e-05
[live_fx_dashboard] 2025-08-06 21:32:51 [INFO] 2025-08-06 21:32:51 | EURUSD | BID: 1.16609 | ASK: 1.1661 | SPREAD: 1e-05
[live_fx_dashboard] 2025-08-06 21:32:54 [INFO] 2025-08-06 21:32:54 | EURUSD | BID: 1.16608 | ASK: 1.1661 | SPREAD: 2e-05
[live_fx_dashboard] 2025-08-06 21:32:56 [INFO] 2025-08-06 21:32:56 | EURUSD | BID: 1.16609 | ASK: 1.1661 | SPREAD: 1e-05
[live_fx_dashboard] 2025-08-06 21:32:58 [INFO] 2025-08-06 21:32:58 | EURUSD | BID: 1.16609 | ASK: 1.16611 | SPREAD: 2e-05
[live_fx_dashboard] 2025-08-06 21:32:59 [INFO] 2025-08-06 21:32:59 | EURUSD | BID: 1.16609 | ASK: 1.1661 | SPREAD: 1e-05
[live_fx_dashboard] 2025-08-06 21:33:00 [INFO] 2025-08-06 21:33:00 | EURUSD | BID: 1.16608 | ASK: 1.1661 | SPREAD: 2e-05
[live_fx_dashboard] 2025-08-06 21:33:07 [INFO] 2025-08-06 21:33:07 | EURUSD | BID: 1.16608 | ASK: 1.16611 | SPREAD: 3e-05
[live_fx_dashboard] 2025-08-06 21:33:07 [INFO] 2025-08-06 21:33:07 | EURUSD | BID: 1.16608 | ASK: 1.1661 | SPREAD: 2e-05
[live_fx_dashboard] 2025-08-06 21:33:08 [INFO] 2025-08-06 21:33:08 | EURUSD | BID: 1.16608 | ASK: 1.16611 | SPREAD: 3e-05
[live_fx_dashboard] 2025-08-06 21:33:12 [INFO] 2025-08-06 21:33:11 | EURUSD | BID: 1.16608 | ASK: 1.1661 | SPREAD: 2e-05
[live_fx_dashboard] 2025-08-06 21:33:12 [INFO] 2025-08-06 21:33:12 | EURUSD | BID: 1.16609 | ASK: 1.16611 | SPREAD: 2e-05
[live_fx_dashboard] 2025-08-06 21:33:13 [INFO] 2025-08-06 21:33:13 | EURUSD | BID: 1.16608 | ASK: 1.16611 | SPREAD: 3e-05
[live_fx_dashboard] 2025-08-06 21:33:14 [INFO] 2025-08-06 21:33:14 | EURUSD | BID: 1.16609 | ASK: 1.16611 | SPREAD: 2e-05
[live_fx_dashboard] 2025-08-06 21:33:14 [INFO] 2025-08-06 21:33:14 | EURUSD | BID: 1.16608 | ASK: 1.16611 | SPREAD: 3e-05
[live_fx_dashboard] 2025-08-06 21:33:22 [INFO] 2025-08-06 21:33:22 | EURUSD | BID: 1.16608 | ASK: 1.1661 | SPREAD: 2e-05
[live_fx_dashboard] 2025-08-06 21:33:25 [INFO] 2025-08-06 21:33:25 | EURUSD | BID: 1.16608 | ASK: 1.16609 | SPREAD: 1e-05
[live_fx_dashboard] 2025-08-06 21:33:26 [INFO] 2025-08-06 21:33:26 | EURUSD | BID: 1.16608 | ASK: 1.1661 | SPREAD: 2e-05
[live_fx_dashboard] 2025-08-06 21:33:27 [INFO] 2025-08-06 21:33:27 | EURUSD | BID: 1.16607 | ASK: 1.1661 | SPREAD: 3e-05
[live_fx_dashboard] 2025-08-06 21:33:37 [INFO] 2025-08-06 21:33:37 | EURUSD | BID: 1.16606 | ASK: 1.16607 | SPREAD: 1e-05
[live_fx_dashboard] 2025-08-06 21:33:37 [INFO] 2025-08-06 21:33:37 | EURUSD | BID: 1.16607 | ASK: 1.16609 | SPREAD: 2e-05
[live_fx_dashboard] 2025-08-06 21:33:38 [INFO] 2025-08-06 21:33:38 | EURUSD | BID: 1.16606 | ASK: 1.16608 | SPREAD: 2e-05
