datetime_utc,unrealized,realized,daily
2025-09-23T21:17:13.743326+00:00,-192.50,0.00,58.88
2025-09-23T21:17:13.946529+00:00,-192.50,0.00,58.88
2025-09-23T21:17:14.150688+00:00,-192.50,0.00,58.88
2025-09-23T21:17:14.351963+00:00,-192.50,0.00,58.88
2025-09-23T21:17:14.554895+00:00,-192.50,0.00,58.88
2025-09-23T21:17:14.761008+00:00,-192.81,0.00,58.57
2025-09-23T21:17:14.962374+00:00,-192.81,0.00,58.57
2025-09-23T21:17:15.164940+00:00,-192.81,0.00,58.57
2025-09-23T21:17:15.366693+00:00,-192.81,0.00,58.57
2025-09-23T21:17:15.569053+00:00,-192.81,0.00,58.57
2025-09-23T21:17:15.772018+00:00,-192.81,0.00,58.57
2025-09-23T21:17:15.987464+00:00,-192.81,0.00,58.57
2025-09-23T21:17:16.189129+00:00,-192.81,0.00,58.57
2025-09-23T21:17:16.390711+00:00,-192.81,0.00,58.57
2025-09-23T21:17:16.594326+00:00,-192.81,0.00,58.57
2025-09-23T21:17:16.798070+00:00,-192.81,0.00,58.57
2025-09-23T21:17:17.013504+00:00,-192.81,0.00,58.57
2025-09-23T21:17:17.216637+00:00,-192.81,0.00,58.57
2025-09-23T21:17:17.417667+00:00,-192.81,0.00,58.57
2025-09-23T21:17:17.620403+00:00,-192.81,0.00,58.57
2025-09-23T21:17:17.823994+00:00,-192.81,0.00,58.57
2025-09-23T21:17:18.027936+00:00,-192.81,0.00,58.57
2025-09-23T21:17:18.231172+00:00,-192.81,0.00,58.57
2025-09-23T21:17:18.445146+00:00,-192.81,0.00,58.57
2025-09-23T21:17:18.646273+00:00,-192.81,0.00,58.57
2025-09-23T21:17:18.848217+00:00,-192.81,0.00,58.57
2025-09-23T21:17:19.051617+00:00,-192.81,0.00,58.57
2025-09-23T21:17:19.266306+00:00,-192.81,0.00,58.57
2025-09-23T21:17:19.468343+00:00,-192.81,0.00,58.57
2025-09-23T21:17:19.670123+00:00,-192.81,0.00,58.57
2025-09-23T21:17:19.872388+00:00,-192.81,0.00,58.57
2025-09-23T21:17:20.074580+00:00,-192.81,0.00,58.57
2025-09-23T21:17:20.276152+00:00,-192.81,0.00,58.57
2025-09-23T21:17:20.477384+00:00,-192.81,0.00,58.57
2025-09-23T21:17:20.678532+00:00,-192.81,0.00,58.57
2025-09-23T21:17:20.879582+00:00,-192.81,0.00,58.57
2025-09-23T21:17:21.081475+00:00,-192.81,0.00,58.57
2025-09-23T21:17:21.284837+00:00,-192.81,0.00,58.57
2025-09-23T21:17:21.485317+00:00,-192.81,0.00,58.57
2025-09-23T21:17:21.686547+00:00,-192.81,0.00,58.57
2025-09-23T21:17:21.888777+00:00,-192.81,0.00,58.57
2025-09-23T21:17:22.090663+00:00,-192.81,0.00,58.57
2025-09-23T21:17:22.291101+00:00,-192.81,0.00,58.57
2025-09-23T21:17:22.496086+00:00,-192.81,0.00,58.57
2025-09-23T21:17:22.700426+00:00,-192.81,0.00,58.57
2025-09-23T21:17:22.903496+00:00,-192.81,0.00,58.57
2025-09-23T21:17:23.104617+00:00,-192.81,0.00,58.57
2025-09-23T21:17:23.308137+00:00,-192.81,0.00,58.57
2025-09-23T21:17:23.511192+00:00,-192.81,0.00,58.57
2025-09-23T21:17:23.714178+00:00,-192.81,0.00,58.57
2025-09-23T21:17:23.916460+00:00,-192.81,0.00,58.57
2025-09-23T21:17:24.117578+00:00,-192.81,0.00,58.57
2025-09-23T21:17:24.320529+00:00,-192.81,0.00,58.57
2025-09-23T21:17:24.521310+00:00,-192.81,0.00,58.57
2025-09-23T21:17:24.722948+00:00,-192.81,0.00,58.57
2025-09-23T21:17:24.925554+00:00,-192.81,0.00,58.57
2025-09-23T21:17:25.128826+00:00,-192.81,0.00,58.57
2025-09-23T21:17:25.330944+00:00,-192.81,0.00,58.57
2025-09-23T21:17:25.536402+00:00,-192.81,0.00,58.57
2025-09-23T21:17:25.739155+00:00,-192.81,0.00,58.57
2025-09-23T21:17:25.954391+00:00,-192.81,0.00,58.57
2025-09-23T21:17:26.156774+00:00,-192.81,0.00,58.57
2025-09-23T21:17:26.371135+00:00,-192.81,0.00,58.57
2025-09-23T21:17:26.572743+00:00,-192.81,0.00,58.57
2025-09-23T21:17:26.787609+00:00,-192.81,0.00,58.57
2025-09-23T21:17:26.990235+00:00,-192.81,0.00,58.57
2025-09-23T21:17:27.193682+00:00,-192.81,0.00,58.57
2025-09-23T21:17:27.395197+00:00,-192.81,0.00,58.57
2025-09-23T21:17:27.595672+00:00,-192.81,0.00,58.57
2025-09-23T21:17:27.799178+00:00,-192.81,0.00,58.57
2025-09-23T21:17:28.002307+00:00,-192.81,0.00,58.57
2025-09-23T21:17:28.204594+00:00,-192.81,0.00,58.57
2025-09-23T21:17:28.420676+00:00,-192.81,0.00,58.57
2025-09-23T21:17:28.622556+00:00,-192.81,0.00,58.57
2025-09-23T21:17:28.825694+00:00,-192.81,0.00,58.57
2025-09-23T21:17:29.027215+00:00,-192.81,0.00,58.57
2025-09-23T21:17:29.242017+00:00,-192.81,0.00,58.57
2025-09-23T21:17:29.444507+00:00,-192.81,0.00,58.57
2025-09-23T21:17:29.649410+00:00,-192.81,0.00,58.57
2025-09-23T21:17:29.851176+00:00,-192.81,0.00,58.57
2025-09-23T21:17:30.054691+00:00,-192.81,0.00,58.57
2025-09-23T21:17:30.257031+00:00,-192.81,0.00,58.57
2025-09-23T21:17:30.459610+00:00,-192.81,0.00,58.57
2025-09-23T21:17:30.661742+00:00,-192.81,0.00,58.57
2025-09-23T21:17:30.864541+00:00,-193.82,0.00,57.55
2025-09-23T21:17:31.067012+00:00,-193.82,0.00,57.55
2025-09-23T21:17:31.270046+00:00,-193.82,0.00,57.55
2025-09-23T21:17:31.470818+00:00,-193.82,0.00,57.55
2025-09-23T21:17:31.672100+00:00,-193.82,0.00,57.55
2025-09-23T21:17:31.875116+00:00,-193.82,0.00,57.55
2025-09-23T21:17:32.078135+00:00,-193.82,0.00,57.55
2025-09-23T21:17:32.280213+00:00,-193.82,0.00,57.55
2025-09-23T21:17:32.483759+00:00,-193.82,0.00,57.55
2025-09-23T21:17:32.687242+00:00,-193.82,0.00,57.55
2025-09-23T21:17:32.889401+00:00,-193.82,0.00,57.55
2025-09-23T21:17:33.092045+00:00,-193.82,0.00,57.55
2025-09-23T21:17:33.293076+00:00,-193.82,0.00,57.55
2025-09-23T21:17:33.506437+00:00,-193.82,0.00,57.55
2025-09-23T21:17:33.709446+00:00,-193.82,0.00,57.55
2025-09-23T21:17:33.914020+00:00,-193.82,0.00,57.55
2025-09-23T21:17:34.116394+00:00,-193.82,0.00,57.55
2025-09-23T21:17:34.319606+00:00,-193.82,0.00,57.55
2025-09-23T21:17:34.520871+00:00,-193.82,0.00,57.55
2025-09-23T21:17:34.733825+00:00,-193.82,0.00,57.55
2025-09-23T21:17:34.934080+00:00,-193.82,0.00,57.55
2025-09-23T21:17:35.137486+00:00,-193.82,0.00,57.55
2025-09-23T21:17:35.339854+00:00,-193.82,0.00,57.55
2025-09-23T21:17:35.540939+00:00,-193.82,0.00,57.55
2025-09-23T21:17:35.743600+00:00,-193.82,0.00,57.55
2025-09-23T21:17:35.946145+00:00,-193.82,0.00,57.55
2025-09-23T21:17:36.146389+00:00,-193.82,0.00,57.55
2025-09-23T21:17:36.347646+00:00,-193.82,0.00,57.55
2025-09-23T21:17:36.548676+00:00,-193.82,0.00,57.55
2025-09-23T21:17:36.749942+00:00,-193.82,0.00,57.55
2025-09-23T21:17:36.952287+00:00,-193.82,0.00,57.55
2025-09-23T21:17:37.156291+00:00,-193.82,0.00,57.55
2025-09-23T21:17:37.358750+00:00,-193.82,0.00,57.55
2025-09-23T21:17:37.559132+00:00,-193.82,0.00,57.55
2025-09-23T21:17:37.773970+00:00,-193.82,0.00,57.55
2025-09-23T21:17:37.974981+00:00,-193.82,0.00,57.55
2025-09-23T21:17:38.176245+00:00,-193.82,0.00,57.55
2025-09-23T21:17:38.379430+00:00,-193.82,0.00,57.55
2025-09-23T21:17:38.583994+00:00,-193.82,0.00,57.55
2025-09-23T21:17:38.787684+00:00,-193.82,0.00,57.55
2025-09-23T21:17:38.989077+00:00,-193.82,0.00,57.55
2025-09-23T21:17:39.203416+00:00,-193.82,0.00,57.55
2025-09-23T21:17:39.404341+00:00,-193.82,0.00,57.55
2025-09-23T21:17:39.606520+00:00,-193.82,0.00,57.55
2025-09-23T21:17:39.808374+00:00,-193.82,0.00,57.55
2025-09-23T21:17:40.011074+00:00,-193.82,0.00,57.55
2025-09-23T21:17:40.213529+00:00,-193.82,0.00,57.55
2025-09-23T21:17:40.418219+00:00,-193.82,0.00,57.55
2025-09-23T21:17:40.622904+00:00,-193.82,0.00,57.55
2025-09-23T21:17:40.827037+00:00,-193.82,0.00,57.55
2025-09-23T21:17:41.028498+00:00,-193.82,0.00,57.55
2025-09-23T21:17:41.230227+00:00,-193.82,0.00,57.55
2025-09-23T21:17:41.430776+00:00,-193.82,0.00,57.55
2025-09-23T21:17:41.633774+00:00,-193.82,0.00,57.55
2025-09-23T21:17:41.835586+00:00,-193.82,0.00,57.55
